,SENDER,MESSAGE
0,https://ria.ru/20221008/ipoteka-1822395637.html,"МОСКВА, 8 окт - РИА Новости. Сбербанк в субботу повысил ставки по ипотеке на новостройки и готовое жилье на 0,5 процентного пункта: теперь минимальная ставка по таким кредитам составляет 10,4% годовых, следует из информации на сайте кредитной организации.Согласно данным сайта, стоимость ипотечных кредитов на покупку жилья на первичном и вторичном рынках теперь выросла до 10,4% с 9,9%.""Сбер"" приложил максимальные усилия для сохранения текущих ставок, однако рыночные условия не позволяют сохранить их на прежнем уровне в течение такого длительного периода, потому с 8 октября мы вынуждены минимально скорректировать ставки по рыночным ипотечным продуктам на 0,5 процентного пункта"", - сообщили там же.В Сбербанке добавили, что ставки по госпрограммам остаются неизменными. Кроме того, ставки по ранее одобренным ипотечным кредитам сохраняются на период действия одобрения.Ряд крупных банков с конца сентября начал поднимать ставки по ипотеке, в том числе это сделали Альфа-банк, МКБ и ""Зенит""."
1,https://ria.ru/20221007/uscherb-1822389126.html,"МОСКВА, 7 окт - РИА Новости. Правительству РФ поручено провести аудит работы иностранных лиц в ""Сахалине-1"" и по его итогам установить размер ущерба от простоя проекта, а также определить, кто его будет возмещать, денежные средства от продажи доли в новом операторе будут переведены иностранному участнику на спецсчет за вычетом ущерба, следует из указа президента РФ Владимира Путина, опубликованного на официальном интернет-портале правовой информации.Своим указом Путин поручил правительству России создать российского оператора проекта ""Сахалин-1"", которому должны перейти права и обязанности нынешнего оператора - Exxon Neftegaz Limited.""Правительство... проводит финансовый, экологический, технологический и иной аудит деятельности иностранных юридических лиц (и их филиалов) и (или) физических лиц, связанных с исполнением соглашения... по итогам проведенного... аудита правительство... устанавливает размер ущерба... и определяет лиц, на которых возлагаются обязательства по его возмещению"", - говорится в указе.""Денежные средства в сумме, равной сумме размера нанесенного ущерба, списываются со счета типа ""С"", открытого на имя иностранной стороны консорциума, связанной с иностранными юридическими лицами (их филиалами) и (или) физическими лицами, на которых... возлагаются обязательства по возмещению ущерба, в пользу общества"", - также говорится в документе.Оператором проекта ""Сахалин-1"" сейчас является дочерняя компания ExxonMobil, владеет его долей в 30%. В марте она заявила о намерении выйти из проекта, а в апреле - о введении режима форс-мажора, в результате чего работа проекта была почти остановлена. На данный момент добыча газа и нефти полностью остановлена. Также акционерами ""Сахалина-1"" являются ""Роснефть"" (20%), японская Sodeco (30%) и индийская ONGC (20%).""Роснефть"" заявляла в конце августа, что финансовые разногласия участников проекта ""Сахалин-1"" являются следствием одностороннего решения его оператора об остановке промысла, который в настоящее время генерирует только убытки участникам соглашения о разделе продукции. Возвращение к нормальной производственной деятельности проекта могло бы создать необходимые условия для решения всех спорных вопросов, отмечала российская компания."
2,https://ria.ru/20221007/sakhalin-1822382487.html,"МОСКВА, 7 окт - РИА Новости. Доли в уставном капитале нового оператора проекта ""Сахалин-1"" должны перейти самому предприятию и двум ""дочкам"" ""Роснефти"" - ""Сахалинморнефтегаз-Шельф"" и ""РН-Астра"", следует из указа президента РФ Владимира Путина, опубликованного на официальном интернет-портале правовой информации.Президент своим указом в пятницу распорядился, чтобы правительство создало нового оператора проекта ""Сахалин-1"", которому перейдут права и обязанности Exxon Neftegaz Limited.""Доли в уставном капитале общества принадлежат: АО ""Сахалинморнефтегаз-Шельф"" пропорционально доле его участия по соглашению (11,5%), АО ""РН-Астра"" пропорционально доле его участия по соглашению (8,5%), обществу пропорционально совокупной доле участия иностранных сторон консорциума по соглашению (80%)"", - говорится в документе.Доля в новом операторе ""Сахалин-1"", которая не будет передана иностранным участникам, подлежит оценке и продаже российскому лицу, следует из указа президента.""Доля в уставном капитале общества, передача которой… не была осуществлена иностранной стороне консорциума, подлежит оценке Правительством РФ и продаже в установленном Правительством РФ порядке российскому юридическому лицу, соответствующему критериям, определенным этим порядком"", - говорится в указе.Нынешний оператор проекта ""Сахалин-1"" Exxon Neftegaz Limited (""дочка"" ExxonMobil) владеет его долей в 30%. В марте компания заявила о намерении выйти из проекта, а в апреле - о введении режима форс-мажора, в результате чего работа проекта была почти остановлена. На данный момент добыча газа и нефти полностью остановлена. Также акционерами ""Сахалина-1"" являются ""Роснефть"" (20%), японская Sodeco (30%) и индийская ONGC (20%)."
3,https://ria.ru/20221007/sakhalin-1822378318.html,"МОСКВА, 7 окт — РИА Новости. Владимир Путин поручил правительству создать отечественного оператора проекта ""Сахалин-1"", которому переходят права и обязанности компании Exxon Neftegaz Limited, соответствующий указ опубликован на официальном интернет-портале правовой информации.Согласно указу, причиной для создания российского юридического лица стали риск возникновения чрезвычайной ситуации природного и техногенного характера, а также угроза жизни и безопасности людей, национальным интересам и экономической безопасности России. Это произошло из-за нарушения иностранными юридическими и физическими лицами обязательств в рамках соглашения по проекту.В документе также уточняется, что имущество, созданное или приобретенное консорциумом в рамках соглашения о разделе продукции, подлежит незамедлительной передаче в собственность России. В то же время его передадут в безвозмездное пользование новому обществу на срок, определенный договором.Функции оператора ""Сахалина-1"" сейчас выполняет дочерняя компания ExxonMobil, владеющая долей в 30 процентов. В марте она заявила о намерении выйти из проекта, а в апреле — о введении режима форс-мажора, в результате чего работа на нем была почти остановлена.Проект реализуется на условиях соглашения о разделе продукции. Помимо Exxon Neftegas Ltd., долями по 20 процентов владеют ""Роснефть"" и индийская ONGC, еще 30 процентов — у японской Sodeco. Ранее губернатор Сахалинской области Валерий Лимаренко сообщил, что проект приостановил добычу газа с 16 сентября. Кроме того, на ""Сахалине-1"" прекратили добычу нефти."
4,https://ria.ru/20221007/preokty-1822377840.html,"КРАСНОДАР, 7 окт - РИА Новости. На Кубани при поддержке регионального Фонда развития инноваций реализуют более 90 проектов, сообщает администрация Краснодарского края.""Четыре года назад в крае приняли Стратегию развития региона-2030, где отдельное внимание уделили поддержке талантливых и смелых предпринимателей. В 2022 году создали Фонд развития инноваций Кубани. Сегодня при его содействии уже реализуют более 90 проектов"", - говорится в сообщении.Уточняется, что речь об этом шла на встрече в пятницу, в которой приняли участие губернатор региона Вениамин Кондратьев, замглавы Кубани Александр Руппель, руководитель департамента инвестиций и развития малого и среднего предпринимательства Василий Воробьев и исполнительный директор регионального Фонда развития инноваций Ольга Лукашева.""В современных условиях инновации – ключевой фактор конкурентоспособности экономики края и технологического суверенитета страны. Ваша изобретательность и нестандартный взгляд на вещи помогают находить новые решения в приоритетных отраслях – IT-секторе, медицине, сельском хозяйстве и промышленности. Но важно не просто придумать какую-то инициативу, а реализовать ее, при этом создать собственный уникальный и востребованный во всем мире продукт. Краю нужны подобные прорывные идеи, и мы готовы вас поддерживать на всех этапах"", – приводятся в сообщении слова Кондратьева.По словам Лукашевой, кубанские инноваторы активно пользуются инструментами Фонда, которые уже сегодня позволяют добиваться реальных результатов. Она добавила, что благодаря работе Фонда предпринимателям удалось привлечь более 100 миллионов инвестиций и 140 миллионов рублей грантовой поддержки. Организация стала брать запросы на IT-разработки и помогла создать продукты в семи отраслях, ряд из этих кейсов уже реализуют."
5,https://ria.ru/20221007/proverki-1822369664.html,"РЯЗАНЬ, 7 окт – РИА Новости. Губернатор Рязанской области Павел Малков сообщил, что в регионе в этом году отменили около 200 плановых проверок бизнеса и почти в четыре раза сократили число внеплановых.В Рязани прошел Всероссийский форум контрольных органов. По данным пресс-службы правительства региона, организаторами выступили министерство экономического развития РФ совместно с властями области при поддержке Фонда ""Центр стратегических разработок"". В работе форума приняли участие свыше 400 представителей контрольно-надзорной деятельности из 68 регионов России. В этом году мероприятие прошло под девизом ""Безопасность граждан. Свобода бизнеса"".В пятницу состоялась пленарная сессия форума с участием статс-секретаря - заместителя министра экономического развития РФ Алексея Херсонцева, председателя комитета Совета Федерации по регламенту и организации парламентской деятельности Вячеслава Тимченко, первого заместителя председателя комитета Госдумы по контролю Михаила Романова, аудитора Счетной палаты РФ Светланы Орловой.""Я считаю, что у нас внутри скрыты огромные резервы для развития... Далеко не последнюю роль здесь играет контрольно-надзорная деятельность, которая зачастую создает достаточно серьезные издержки для бизнеса. С другой стороны, мы прекрасно понимаем, что просто взять и отменить весь контроль и надзор просто невозможно... Это тот самый тонкий баланс, который постоянно нужно искать... Мы в этом году отменили около 200 плановых проверок и почти в четыре раза сократили количество внеплановых проверок. Сделали основной упор на профилактическую работу"", - сообщил Малков.Он отметил, что правительством РФ в этом году принят ряд важных решений по поддержке бизнеса, нагрузка ""реально снижается"". В регионе, по его словам, жестко соблюдаются требования, жалоб на действия контролеров сейчас не поступает.Кроме того, подчеркнул губернатор, в регионе в дополнение к федеральным приняли свои, региональные, меры поддержки. ""В нашем плане первоочередных действий более 100 мер поддержки. Продлены сроки уплаты налогов. В три раза снижены налоговые ставки по упрощенной системе налогообложения для обрабатывающих предприятий. Это более 3000 МСП (малых и средних предприятий - ред.). Экономия получилась для них существенная и составила почти четверть миллиарда рублей"", - добавил Малков.Херсонцев поблагодарил губернатора за высокую организацию форума в Рязанской области, подчеркнув широкое представительство и особую важность обсуждаемых вопросов.""Мы реализуем реформу контрольно-надзорной деятельности в нашей стране. Это серьезный масштабный проект по совершенствованию госуправления. Он начался с принятия законов, которые в прошлом году вступили в силу, и призваны кардинально изменить работу наших контрольно-надзорных ведомств. Задача реформы – получить сбалансированную систему, при которой мы минимально вмешиваемся в работу бизнеса и он чувствует себя комфортно, но в тоже время получаем от него соблюдение обязательных требований со стороны государства"", - сказал он."
6,https://ria.ru/20221007/zapret-1822361302.html,"МИНСК, 7 окт – РИА Новости. В Белоруссии на три месяца продлен запрет на вывоз из страны пшеничной муки и гречки, сообщила в пятницу пресс-служба белорусского правительства.""Правительство продлило запрет на вывоз из Беларуси пшеничной муки и гречки. Соответствующее постановление подписал премьер. Запрет вывоза за пределы Республики Беларусь крупы из гречихи, гречневого зерна, готовых пищевых продуктов из гречки, муки пшеничной из пшеницы мягкой и спельты будет действовать три месяца и введен в целях защиты внутреннего рынка"", - говорится в сообщении.Запрет был введен в июле прошлого года, затем неоднократно продлялся."
7,https://ria.ru/20221007/moskva-1822360273.html,"ООН, 7 окт - РИА Новости. Замгенсека ООН по гуманитарным вопросам Мартин Гриффитс и генсек Конференции ООН по торговле и развитию (ЮНКТАД) Ребека Гринспан посетят Москву примерно через неделю, чтобы обсудить продление продуктовой сделки, заявил официальный представитель генсека ООН Стефан Дюжаррик.По его словам, команда генсека ведет интенсивные контакты по вопросам, касающимся ""продуктовой сделки. Господин Гутерреш и его команда работают над продлением и расширением черноморской зерновой инициативы. Они работают активно над снятием остающихся препятствий для содействия экспорту российского зерна и удобрений"", - сказал Дюжаррик на брифинге.В Стамбуле 22 июля были подписаны многосторонние соглашения о снятии ограничений на поставку российских продуктов на экспорт и о содействии России вывозу украинского зерна. Сделка, которую подписали представители России, Турции, Украины и ООН, предполагает вывоз украинского зерна, продовольствия и удобрений по Черному морю из трех портов, включая Одессу. Президент РФ Владимир Путин неоднократно заявлял, что зерно поставляется не в те страны, о которых ранее шла речь."
8,https://ria.ru/20221007/kurs-1822354697.html,"МОСКВА, 7 окт - РИА Новости. Валюта РФ упала в пятницу к доллару до 61 рубля, а к евро – до 59,9 рубля, за первую неделю октября рубль также подешевел, следует из данных Московской биржи.Курс доллара расчетами ""завтра"" в пятницу на 19.00 мск (к закрытию) вырос на 10 копеек, до 61 рубля, евро - на 80 копеек, до 59,9 рубля.В ходе торгов пятницы доллар и евро обновили максимумы с 21 сентября, поднявшись до 61,7 рубля и до 61,645 рубля соответственно.Доллар за неделю вырос на 2,55 рубля, евро – на 3,2 рубля."
9,https://ria.ru/20221007/gaz-1822353834.html,"ПРАГА, 7 окт — РИА Новости. Германия намерена обсудить с Норвегией, США и другими поставщиками газа возможность снижения цен на импорт в Европу, сообщил журналистам канцлер ФРГ Олаф Шольц, его выступление транслировал телеканал Phoenix.По его словам, премьер-министр Норвегии Йонас Гар Стере сообщил, что его страна открыта к такому диалогу.В пятницу в Праге проходил неформальный саммит стран ЕС, участники которого обсуждали ситуацию на Украине и энергетический кризис.Запад усилил санкционное давление на Россию из-за Киева, что привело к росту цен на электроэнергию, топливо и продукты питания в Европе и США. Президент Владимир Путин ранее заявлял, что политика сдерживания и ослабления Москвы — это долгосрочная стратегия Запада, а санкции нанесли серьезный удар по всей мировой экономике. По его словам, основная цель США и их союзников — ухудшить жизнь миллионов людей."
