	SENDER	MESSAGE
0	https://t.me/forbesrussia	США новыми санкциями [ограничили](https://www.forbes.ru/tekhnologii/479277-ssa-ogranicili-postavki-poluprovodnikov-v-kitaj) поставки полупроводников и оборудования для производства микросхем десяткам китайских компаний. Эксперты заявили, что это, вероятно, самые масштабные меры экспортного контроля за последние 10 лет
1	https://t.me/forbesrussia	Зеленский [заявил](https://www.forbes.ru/society/479273-zelenskij-zaavil-o-nepravil-nom-perevode-ego-slov-o-preventivnyh-udarah-po-rossii), что не призывал нанести «превентивные удары» по России. По его словам, он говорил о санкциях против России, но его высказывание неправильно перевели с украинского
2	https://t.me/forbesrussia	В реестр физлиц-иноагентов внесен рэпер Oxxxymiron
3	https://t.me/forbesrussia	Минюст [внес](https://www.forbes.ru/society/479275-minust-vnes-pisatela-dmitria-gluhovskogo-v-reestr-smi-inoagentov) в реестр СМИ — иностранных агентов писателя Дмитрия Глуховского. Ранее автор романа «Метро 2033» был объявлен в розыск по делу о дискредитации российских военных за пост в соцсетях
4	https://t.me/forbesrussia	Поставщик IT-решений и сервисов Softline [раскрыл](https://www.forbes.ru/tekhnologii/479271-softline-prodast-rossijskij-biznes-osnovatelu-kompanii-za-1) детали разделения бизнеса на российский и международный. В ходе разделения российский бизнес выкупит основатель компании за символический $1
5	https://t.me/forbesrussia	Росстат [принял решение прекратить](https://www.forbes.ru/society/479269-rosstat-prekratit-publikaciu-operativnyh-dannyh-o-smertnosti-ot-covid-19) публикацию данных о смертности от COVID-19. Ведомство объяснило это снижением количества смертей от вируса
6	https://t.me/forbesrussia	Американская компания Sylvamo, выпускающая бумагу под маркой SvetoCopy, [продала](https://www.forbes.ru/biznes/479267-proizvoditel-bumagi-svetocopy-iz-ssa-prodal-svoj-biznes-v-rossii) свой российский бизнес. Покупателем стал производитель туалетной бумаги Perina и Reina из Казани
7	https://t.me/forbesrussia	Китайская Alibaba после 24 февраля [отказалась](https://www.forbes.ru/biznes/479259-the-bell-uznal-ob-otkaze-akcionerov-aliekspress-rossia-ot-finansirovania-kompanii) инвестировать в «Алиэкспресс Россия», а следом вложения в проект остановили и российские акционеры, узнал The Bell. Как пишет издание, проект сократил больше 50% сотрудников и отказался от локального маркетплейса, способного конкурировать с Wildberries и Ozon
8	https://t.me/forbesrussia	"**Неделя миллиардера на Forbes

**• Совладелец LetterOne Алексей Кузьмичев частично выиграл суд против таможенной службы Франции из-за блокировки двух его яхт. 

Суд заявил, что таможенники в ходе обыска допустили «серьезные ошибки».Теперь Кузьмичеву разрешено пользоваться яхтой во французских водах, но выводить ее за пределы страны нельзя. 

• Верховный суд США отклонил апелляцию российского миллиардера Олега Дерипаски с требованием снять с него американские санкции, пишет Bloomberg. Решение было принято после того, как Минюст США предъявил Дерипаске уголовное обвинение в уклонении от санкций. 

• Япония ввела санкции против бизнесменов Виктора Рашникова и Дмитрия Пумпянского, говорится в сообщении на сайте японского Министерства финансов. Всего под санкции попали 58 лиц и девять организаций.

• «Интеррос» миллиардера Владимира Потанина продаст производителя вакцин «Петровакс фарм» его менеджменту и инвесткомпании VB Partners, среди основателей которой Рубен Варданян. 

• Президент Нагорного Карабаха Араик Арутюнян предложил миллиардеру Рубену Варданяну должность государственного министра непризнанной республики. Об этом Арутюнян сообщил на своей странице в Facebook (принадлежит Meta, которая признана в России экстремистской и запрещена):

__«О Рубене можно долго писать, касаться его смелых решений, преданности Родине и народу»__, — написал Арутюнян и добавил, что __«готов предоставить ему широкие полномочия принятия решений и действий». 

__• Бизнесмен Андрей Мельниченко в интервью итальянской Corriere Della Sera высказался о «спецоперации»* на Украине: 

__«То, что мы переживаем, — это не просто начало гражданской войны между двумя братскими народами, а мощное тектоническое движение, способное расколоть мир, последствия которого ощутят миллиарды людей, не имеющих никакого отношения к этому конфликту…».__

О самых важных событиях недели с участием крупнейших российских бизнесменов — [в дайджесте о российских миллиардерах](https://www.forbes.ru/milliardery/479197-nedela-milliardera-pobeda-kuz-miceva-sdelki-potanina-neudaca-deripaski)
__
__📸__: Андрей Мельниченко (Andrey Rudakov / Bloomberg via Getty Images)__"
9	https://t.me/forbesrussia	"Последнее полугодие встряхнуло малых и средних предпринимателей: кто-то увидел в кризисе новые возможности для развития, а кто-то попытался сохранить то, что имеет. 

[В совместном материале](https://bit.ly/3rAuOuD) рассказываем о продуктах и сервисах банка «Уралсиб», которые помогут бизнесу адаптироваться к новой реальности. 

* __Информационная поддержка__"
